ocr_text,actual_index,actual_name,actual_expiration_date
"SIRIUS Rettungsdecke
210 x 160 cm
Aluminiumbedampfte Rettungsdecke, schützt vor Kälte und Hitze, vermeidet
Unterkühlung bei allen Notfallsituationen.
Kälteschutz: Patient in Decke einwickeln, Silberseite weist zum Körper.
Hitzeschutz: Decke locker über Patient legen, Silberseite nach außen.
SIRIUS Rescue Sheet. Protects against cold and heat, avoiding hypothermia in
all cases of emergency. Cold protection: wrap patient fully in sheet, silver side
towards body. Heat protection: spread sheet loosely over patient, silver side up.
SIRIUS Couverture de Secours. Protection du froid el du chaud, emplchant
Thypothermie en cas d'urgence Contre le froid envelopper entièrement le
patient, cô argenté au corps Contre la chaleur couvrir le patient légèrement,
cbé argento vors Emor
SIRIUS Colcha de salvamento. Protege del frío y del color, evitando la hipo
termia en los casos de urgencia Protección del frío: Envuelva completamente al
paciente. El lado plateado indica hacia el cuerpo Protección del calor. Cubra al
paciente ligeramente con la colcha. El lada plateado hacia afuera
W.Söhngen GmbH
Erste Hilfe Notfallmedizin
CE
4250108801306
LOT 2336020
D-65232 Taunusstein",612,,83.0
"BRAU7
202
Vasofix Safety
FEP
20G x 114""
(1,1 x 33 mm)
20G
61 ml/min
REF 4268113S-01
2026-09-01
2021-09-28
LOT 21K28G8345
GB Safety IV Catheter with
Injection port
DE Sicherheitsvenenverweil-
katheter mit Injektionsport
BG бeзonacен интравенозен
порт
катетър с инжекционен
CZ Bezpečnostní katetr Vs
Sikkerheds-N-kateter med
DK
injekčnim portem
injektionsport",531,,42.0
"BRAUN
B/BRAUN
Vasofix Safety
FEP
22Gx 1""
(0,9 x 25 mm)
22G
36 ml/min
REF 42680915-01
2026-10-01
2021-10-06
LOT 21L06G8383
Safety NV Catheter with
Injection port
Sicherheits
katheter mit l
sonaces pa
порт
Bezpečnostal katety IV's
Injekčnim porten
Sikkerheds-N-kateter med
injektionsport
Ohutus IV kateter koos
stimbavaga
Cateter intravenosa de
seguridad con puerta de
Inyección
Jakiman turvakatetri
CE 0123
B.Bun Melsungen AG
4200 Melsungen",537,,41.0
"MP
STERILE EO
CE0482
Schleimsauger
Mucus extractor
Extracteur de mucosités
1
MO
PY
ERILE EO
Extrator CTY to MD
MP
STERILE EC
MEDICOPLAST on C
€0482
Eeiders de mucosidad
Катетер для отсасывания» (атеро слизи
CEZ
REF 440008
Vol. 40 ml
Ch. 8
PU
QTY 1
MD
(MP)
QTY
MEDICO 2023-03
0482
2028-02
PHT
LOT 2303
STERILE EO
MP
QTY 1 MD
STERILE ED
(MP
CE0482
PY 011/104
CE0482
et 16 sign",144,,3.0
"DAHLHAUSEN
Saventbrille für Kinde
mit Siciteitsverbindungsschlauch 2,1
Pedia Oxygen Cannula
with 21 Sure Flow Tubing
Canule & sygene pédiatrique
avec flexible de sécurisé de 2,Yan
Cannila ossigeno per pediatria
con tubo di sicurezza 25m
Cinula de oxigeno pediatric
an tubo de seguridad de 2.T
Canula de oxigenio pediátrica
com tubo de segurança 2,1 m
Kyslikove bryte pro deti
s bezpečnostní hadici 2,1 m
Kyslikové okuliare pre deti
s bezpečnostnou hadickou 7-1
Zuurnebril voor kinderen met
veiligheidsgrbindingsslang van 2.1m",302,,0.0
"COVIDIEN
DAR
Electrostatic Filter HME
VT 150-1200 m
diatrique avec HME
LEWOSE CON
STERILE EO
2 Rx
ONLY
M100279
A
CE
0123
20F0792FAX
2025-06-01
пергологах",264,,14.0
"ries
FR
Senda de Temperatura Escal
thofagalletal temperatur, Temur 1300-
ER400-12
2025-04-05
25579",604,,12.0
"BeeSana Vlieskompresse
Non-woven swab
Compresse en non-tissé
Compressa in tessuto non sto
100 St./pcs.
5x5 cm
6-ply/30 g
4250016-401957
Medizinprodukt
medical device
dispositif medical
dispositivo medico
CE MD
Meditrade
1796
Meditrade
[LOY] 90780321
2021-03
2026-02",457,,1500.0
"POS S500-+2
101483390
17)40324
D05605622203195
Venda de her:
Elastiska TOBO
Elastiche bandaže
Elastická obinadla
OA Elastiske bind
Elastsed sidemed
Joustavat siteet
- Ελαστικοί επίδεσμοι
CU Rugalmas kötszerek
Elastīgie pārsēji
Elastiniai tvarsčiai
Bandaże elastyczne
Bandaje elastice
Elastické ovinadia",472,,38.0
"B BRAUN
2028 05-01
2023-09-30
4435101
CEAO
0123",404,,3.0
"Vasofix Safety
PUR
24G x 3/4""
(0,7 x 19 mm)
22 ml/min
REF 4269071S-01
2026-09-01
2021-09-27
LOT 21K27G8349
24G
Safety IV Catheter with
Injection port
DE Sicherheitsvenenverwell-
katheter mit Injektionsport
23 Безопасен интравенозн
катетър с инжекционен
порт
CZ Bezpečnostni katetr IV's
injekčnim portem
Sikkerheds-IV-kateter med
injektionsport
EE Ohutus IV kateeter koos
süstimisavaga
ES Catéter intravenoso de
seguridad con puerto de
Inyección
F Injektioportilla varustettu
laskimon turvakatetri
A
CE
STERILE EO",543,,20.0
"Sterifix Filter Needle
IT Ana per a co
of ju
PT Stete ps pess
ekanich destev lenianinic
Mare in Germany
B. Braun Melsungen AG
04B BRAUN 2018 Meisungen, Germany
CE
4550404
to 22K09A8501
STERILYO
2022-09-09
2027-09-01",516,,200.0
"10ml
Luer Tip (6%)
OBD Discardit™ II
Syringe Siringa Σύριγγα
Fecskendö Шприц
STERILE ED
Jeringo Spuit
Strzykawka Svirkštas
Strcaljka
CE0318 A
Made in Spain 10003703801
Seringa Spruta Brizgalka Střikočka Seringa
Seringue Sprøjte Striekačka Sirce
Spritze Ruisku Süstol
Şiringa
Спринцовка
Шприц
10ml
Luer Tip (6%)
STERILE EO
CE0318 A
Becton Dickinson S.A. Ctra. Mequinenza, s/n, 22520 Fraga (Huesca) España Made in Spain 1000037063801
Sexo Aco CA, Kappesepa Mexinesa, ch, 22520 @para Xyecko) Ichan
700016181
(01)00382903091102
REF 309110
2027-01
LOT 2202115",362,,242.0
"Gleitgel-Wasserlistich
Gel lubricant mill-Soluble en aga
Gell
care procedures
optimummedical
Optimum Medical Solutions Ltd
Tennant Hall, Blenheim Grove
Leeds, LS2 YET, UK.
T: +44 (0) 845 643 5479
enquiries@uptimummedical.co.uk
www.optimummedical.co.uk
②③个
(€2797
STERLER
KEEP OUT OF REACH OF CHILDREN
EC REP
MT Promedt Consulting GmbH
Altenhofstrasse 80
66386 St. Ingbert Germany
REF
1120
208/2025
LOT 200820",603,,2.0
"0318
180x1 1/2
(1.2x40mm)
REP 303129
(01)00382903031290
2029-01
240205
gowary 0318",514,,6.0
"IGAL
SYSTEMS
5030267 050710"">
INTERSURGICAL
COMPLETE
8
GUEDEL AIRWAY, SIZE 4,
ISO SIZE 10
Distributed in the USA by
Intersurgical Incorporated
6757 Kinne Street, East
Syracuse, NY 13057
1.800-828-9633.
F 315-451-3806
support@intersurgicainc.com
www.intersurgical.com
REF 1114100
LOT 32119419
Rx ONLY
EC REP
UAB Intersurgica
Amionlų g. 80.
Pabrace, LT-
18170, Lithuania
MD
2026-10
CE
1114100-3-A
MADE BY INTERBURGICAL IN LITHUANIA
surgical Ltd, Crane House, Molly Millars Lane,
Wokingham, Berkshire, RG41 2RZ, UK
Intersurgical Ltd, Crane House, Molly Millers La
Wokingham, Berkshire, RG41 2RZ, UK
+44 (0)118 9656 300 F: +44 (0)113 9556 356
tersurgical Ltd, Ch
Wokingham, hire, RG412
+44 (0)118656
info@intersurgical.com",211,,1.0
"desderman pure
Lisung zur Händedesinfektion
Chne Farbstoff und Parfüm
Gebrauchsinformation: Information für
den Anwender
Wirkstoffe: 78.2 g Ethanol 96%
01 g Biphenyl-2-ol/100 g
2-N: 27088.00.00
Treverklufich
PZN-09297958
100 ml
e
26066-A
4 032651 168231"">",688,,3.0
